policy,seed,accuracy,average_reward,false_approve_rate,false_reject_rate,escalation_rate,total_cases,failure_count
rules,1,0.92,0.74,0.0,0.08,0.28,50,0
rules,7,0.84,0.67,0.0,0.16,0.18,50,0
rules,21,0.92,0.8,0.0,0.08,0.16,50,0
rules,42,0.86,0.72,0.0,0.14,0.14,50,0
rules,100,0.92,0.79,0.0,0.08,0.18,50,0
ai_review,1,0.92,0.74,0.0,0.08,0.28,50,0
ai_review,7,0.84,0.67,0.0,0.16,0.18,50,0
ai_review,21,0.92,0.8,0.0,0.08,0.16,50,0
ai_review,42,0.86,0.72,0.0,0.14,0.14,50,0
ai_review,100,0.92,0.79,0.0,0.08,0.18,50,0
feedback_adjusted,1,0.98,0.8,0.0,0.02,0.34,50,0
feedback_adjusted,7,0.98,0.81,0.0,0.02,0.32,50,0
feedback_adjusted,21,0.98,0.86,0.0,0.02,0.22,50,0
feedback_adjusted,42,0.98,0.84,0.0,0.02,0.26,50,0
feedback_adjusted,100,0.98,0.85,0.0,0.02,0.24,50,0
